Character name,"Character race (human, orc, halfling, etc)","Character class (wizard, bard, cleric, etc)"
Haley,Human,Thief
Korshakk,Half-Orc,Fighter
Aoi,Half-orc,Paladin
Lexina,Fey,Bard
Gilshar,dwarf,warpriest
Nathandriel Kelemaneril,elf,cleric
Talon,halflight,cleric
Red,hobgoblin,ranger
Bubbles,gnome,druid
Slash,half-elf,rogue
Vallys Termina,Elf,Wizard
Ven,human,paladin
Linxakasendalor Surina,Dragonborn,Paladin
Mikropouli,Kenku,Fighter
Kestrelsong,Half-orc,Druid
Tyanna Argyl,Catfolk,Swashbuckler
Tempus,tiefling,paladin
Melody,Tiefling,Bard
Arden Elsewhere,Fae-blooded human,Bard
Maanu Soundblade Athunigane,Goliath,Bard
Arfelesa Tunnelcrusher,Dwarf,Paladin
Anakrit,Human,Monk
Yana Claroe,Half-orc,Cleric
Milo Underhill,Halfling,Rogue
Lenore Tintangel,Human,Spirit Medium
Hosu Sta,Half-Orc,Bard
Oughan,Half-orc,Warrior
theta,drow,rogue
Ara Marilsilwin,Moon Elf,Druid
Aviana Blu,Elf,Cleric
Spixi Helfyx,Gnome,Druid
Elinee Renwick,Human,Wizard
Folami Ryou Chenzira,half-orc,ranger
Azagrok Gomal,Dwarf,Cleric
Sir Vanadan,Half-Elf,Paladin
Coin,tiefling,bard
Twilly Timbers Triproot,Gnome,Sorcerer
Reda Blackwater,half-elf,rogue
Mariel Mcallaghan,Half-Elf,Oracle
Hector de Olivares,Human,Paladin
Ritloo Garand,Ratfolk,Gunslinger
Divinos Mala,Human,Necromancer
Father Bairn,Human,Cleric
Kila Starpalm,elf,wizard
Drake Napoleon,Aarakocra ,Rogue
Rurik,Orc,Rogue
Wilson,Tiefling,Hellknight
Nevair Moore,Tengu,Rogue
Conall 'O Mordha,Firbolg,Ranger
Dyne,Human,Barbarian
Orkemi,Orc,Witch
Patience,Tiefling,Warlock
Ksana,dragonborn,monk
Thistle,Goblin,Hunter
Moonflower,Elf,Cleric
Avant Bard,halfling,bard
Maratris Carter,human,rogue
Uguu The Glomper,Half-Orc,Barbarian
Vulwyn,Elf,Ranger
Nynx,Human,Thief
Daeva,Tiefling,Rouge
Nikolas Sundergard,Human,Fighter
Maxime,Human,Monk
Adamas,Tiefling,Wizard
Dorgan,Vanara,Alchemist
Charla Tahn,Half Elf,Rogue
Saspa,Gnome,Witch
Cornelia Lodethorne,Dwarf,Cleric
George Hucky Lucky,Dragonborn,Bard
Tornen Mon'zsa,Human,Wizard
Adelys,Halfling,Bard
Corvi,Elf,Rogue
Ragnar the Inscrutable,Human,Cleric
"Nymnym ""Twysty"" Nyxfyx",Gnome,Wizard
Nim,Gnome,Wizard
Ser Pounce,Catfolk,Paladin
Badger Brambleoak,Halfling,Druid
Feeba,Tiefling,Wizard
Dyne,Human,Barbarian
Garnet,Human,Hexblade
Hemlock,Human,Druid
Skrillex,Goblin,Rogue
Stigren Rockclaw,Kobold,Sorcerer
Xiella Seacalled,Half-Dragon Elf,Magus
Azala the Fiend Hunter,Half-Orc,Paladin
Taefa,Tiefling,Bard
Garrick Deathstrike,Human,Fighter
Claudia Kajara,Dragonborn,Weird Musician Bard
Kyiralya,Elf,Bard
Lydia Fallon,Aasimar,Mist Summoner
Bihu,Dragonborn,Rogue
Juliand ,Human,Warlock
Gades,Human,Vivisectionist Alchemist
Larran Boromir,Halfling,Sorcerer
Rolan,Half Elf,Rogue
Rukhl Battlespoon,Human,Barbarian
Klepto Gimbrak,Gnome,Warlock
Tally Mouthrunner,half-elf,bard
Cora Terran,Elf ,Cleric
Tel Vos,Elf,Ranger
alea kelun,half-orc,fighter
Donatello Kallingster,Half Orc,Rogue
mirum murum,half-elf,bard
Melicus Galennius,Human,Cleric/Inquisitor
Melody Callathas,Tiefling,Bard
Silaqui Amakiir of Nothnoril,elf,druid
Mhaar Vyyn,Orc-elf,Barbarian
Gully Forgeclang,orc,artificer
Edward Fallisto,Half Elf,Paladin
Zeljaka,Half-orc,Ranger/cleric
Camelia Merritt,tiefling,sorcerer
Sorin,Human,Rogue
Greenspear,Elf,warrior
Isara,halfling,druid
Sigurd,Halfling,Rogue
Moad,dwarf,rogue
Placid,half-orc,barbarian
Anzu,Aarakocra ,Druid
Ty'sinda,Aarakocra ,Monk
Nephilia,Tiefling,Warlock
Northmint,Gnome,Wizard
Kailua,Human,Druid
Dunun,Lizardfolk,Bard
Coldsnack,Human,Fighter
Happith Cowel,Halfling,Rogue
Roerdin of Fireforge,Dwarf,Fighter
Lazuli Yasuko,Genasi,Fighter 
Katarina,Half Elf,Bard
Sivven the Mouse,Ratfolk,Alchemist
Viath of the Redwind,Genasi,Rogue
Rakden,tiefling,bard
Darby Day,Human,Bard
Erwise,Half elf,Wizard
Garrow Cross,Tengu,Witch
Espyx,Tiefling,Monk
Sigurd ,Half Orc,Paladin
Darva,Dragonborn,Cleric
Ishmael Von Helmholtz,Wood Elf,Wizard
Nilbog,Goblin ,Wizard
Wu Wei,Human,Monk
Fr. Francis Jean Saint-Antoine,Human,Bard
Livingstone,Dwarf,Paladin
Mikki Nimaj,Gnome,Barbarian 
Millia,Dryad,Barbarian
Bullgog,Orc,Sorcerer
Abandon,Tiefling,Wizard
Marion,Human,Rogue
Carly Slay,Human,Rogue
Stuw,Gnome,Wizard
Lara Delareina,Elf,Cleric
Skittering,Ratfolk,Investigator
Rook,Warforged,Monk
Boggy Aeolian,Fawn,Rouge
Tholannan Bearcharger,elf,cleric
Argile Sable,Fawn,War Cleric
Muso of Ashwall,Mousefolk,Fighter
Kiesel Diatomit,Half-Fawn,Bard
Scribble,Kenku,Warlock
Victyr Deathfang,Human,Psion
Rhyisj,Lizardfolk,Fighter
Goddard,Gnome,Fighter
Inglorion Shelaw ,Gray Elf,Ranger
Daisy,Half-Elf,Warlock
Axel Adamantine,Goliath,Bard
Hardrick,Dwarf,Paladin
Kharis,Half-orc,Rogue
Kharis,Half-orc,Rogue
Valykria,High Elf,Fighter
Spaghe,Elf,Bard
Seiea,Gray Elf,Thief
Aurchon Tirokine,Raptoran,Warlock
Samira,Goblin,Druid
Hot Dog Jr.,Gnome,Sorcerer
Audrienne,Half-elf,Rogue
Asa,Half-elf,Cleric
Aeon,Lycanthrope,Fighter
Zaigan,Human,Paladin
Oakaren Ereson,Wood Elf,Ranger
J'soud Flaskguard,Dwarf,Bard
Morrgulis Minx,Halfling,Rogue
Rostam Bogtrotter,Human,Monk
Lucian Fremont,Dark Elf,Warlock
Sir Salem,Dragonborn,Paladin
Kial Porphyrian,Half-Dwarf,Fighter
Nim,Human,Fighter
Ulara de Verici,Dark elf,Rogue
Meia Areon,Elf,Ranger
Thalassa ,Human,Druid
Edras Vathek,Wood Elf,Monk
Alinar Ilias,Aasimar,Cleric
Ava Songsteel,Human,Fighter
Romulus Aquilus,Half-Elf,Paladin
Zacharias Atanion,Drow,Ranger
Cecelia Edelweiss,Aasimar,Paladin
Triel Noquar,drow elf,fighter-thief
Selina,thiefling,fighter-thief
Raen Daybreak,half-elf,rogue
Skorba,Troll,Barbarian
Dak,Halfling,Cleric
Detox Zephyrr,Dwarf,Rogue
Daedalus,Half Elf,Artificer
Rowe,Half-elf,Warlock
Zucker,Half-Orc,Fighter
Geronimous Pigrider,Halfling,Scout
Thadge Thngan,Human,Monk
Aghren Stonetotem,Dwarf,Druid
Florin Goodfellow,Human,Assassin
Oika,gnome,warrior
One-eye Yasha,Human,Sorcerer
Taari,Drow,Cleric
Malyn Oddhands,Halfling,Sorcerer
Bliss,Tiefling,Bard
Langfyr,human,Barbarian
Rutah Lerche,Half-orc,Ranger
Sleg,Troll,Warrior
Renato Lanius,Human,Warlock
Zuldak,Elf,Paladin
"Shunk, Defender of Stuff",Half-orc,Paladin
Naome Katarungan,Tiefling,Warlock
Velyn Whisperwood,Wood Elf,Monk
Jack Blastum,Human,Sorcerer
Brand Siegbert,Fire Genasi,Wizard
Ector Goodfoot,Halfling,Factotum
Chlöë,Aasimar,Bard
Elewynn Oakenheel,Wood Elf,Monk
Whisper,Eladrin,Rogue
Aldric Thredon,Human,Bard
Aleyne of Deneir,Half-elf,Cleric
Jack CX Jackalson ,High Elf,Bard
Horric Seaskipper,Halfling,Ranger
Elspeth Bonewing,Elf,Wizard
Zantor Valvyn,Forest Gnome,Rogue (Arcane Trickster)
Rotundo Potbelly,Halfling,Fighter
Tess,Half-elf,Artificer
Taysikuu,Human,Wizard
Mohr Deeperdown,Dwarf,Fighter
Clarion,Aasimar,Paladin/Warlock
Joseph,half orc,druid
Rurik Ungart,Dwarf,Ranger
Amber of the Springs,Genasi,Druid
Satin D'lancur,Human,Bard
Nebula,Android,Assassin
Girron,Elf,Wizard
